"ASV","TrueSignal","Z_Raw","Z_Smoothed","P_Raw","P_Smoothed","Sig_Raw","Sig_Smoothed","Z_Change","P_Log_Ratio"
"ASV038",FALSE,-0.607542938862617,-0.323560402585529,0.544186801787187,0.746270870662109,FALSE,FALSE,0.283982536277087,-0.137148485461927
"ASV021",FALSE,-1.08680749202614,-0.640893505012886,0.278443172298813,0.521591875995274,FALSE,FALSE,0.445913987013257,-0.272594245436745
"ASV079",FALSE,2.45283282400708,1.70569369097432,0.0150390921155259,0.0880651249329101,TRUE,FALSE,-0.747139133032761,-0.767582336116353
"ASV041",TRUE,1.07243751911092,0.814859336742042,0.284828928396296,0.415152831423981,FALSE,FALSE,-0.257578182368874,-0.163623908306225
"ASV047",TRUE,1.0953996933983,0.830032445516603,0.274672198938593,0.40652043956612,FALSE,FALSE,-0.265367247881697,-0.170267682157283
"ASV090",TRUE,2.00421903945864,1.43041025395979,0.0464092420899478,0.152599306988614,TRUE,FALSE,-0.57380878549885,-0.516948085320197
"ASV060",TRUE,1.35765671775238,1.01024892734286,0.176117927091434,0.312376043398192,FALSE,FALSE,-0.347407790409525,-0.248874154596857
"ASV016",TRUE,1.6639828674965,1.21298384206729,0.0976976656442334,0.225135998206994,FALSE,FALSE,-0.45099902542922,-0.362560755282195
"ASV006",TRUE,2.16709518938402,1.56149918563697,0.0314214343773965,0.118406015841879,TRUE,FALSE,-0.605596003747048,-0.5761477615547
"ASV072",TRUE,2.4637574067606,1.75956204518775,0.0146019337897522,0.0784820916291908,TRUE,FALSE,-0.704195361572849,-0.730360194057821
"ASV086",TRUE,3.57105668354441,2.49184461119413,0.000446311484567144,0.0127081620880027,TRUE,TRUE,-1.07921207235028,-1.4544446831314
"ASV095",TRUE,3.23946872368303,2.27374332847428,0.00140453474745669,0.022981423406738,TRUE,TRUE,-0.965725395208752,-1.21384443631267
"ASV039",TRUE,3.61594843218422,2.52266352216848,0.000379661975832074,0.011646978527315,TRUE,TRUE,-1.09328491001574,-1.48681617123749
"ASV031",TRUE,2.62138752374354,1.86256636028789,0.00943734382876678,0.0625233009023594,TRUE,FALSE,-0.758821163455655,-0.82119212052676
"ASV081",TRUE,1.22279429543274,0.927380805789228,0.222860862569919,0.353728852786624,FALSE,FALSE,-0.295413489643513,-0.200636678487962
"ASV050",FALSE,-0.100592049746856,-0.00620944200223874,0.919976091215396,0.995045613933084,FALSE,FALSE,0.094382607744617,-0.034066448879253
"ASV034",FALSE,0.833835815598654,0.609652655939281,0.40537831191667,0.542091922842897,FALSE,FALSE,-0.224183159659373,-0.126212426495494
"ASV004",FALSE,-1.40980843884922,-0.873074097896257,0.160165084352812,0.382622691084043,FALSE,FALSE,0.536734340952968,-0.378202875092362
"ASV013",FALSE,0.661208505184425,0.496729954334292,0.509247265694183,0.619379496113578,FALSE,FALSE,-0.164478550850133,-0.0850281185936669
