Feature,TrueSignal,P_Simple,P_Trajectory
Feature000,True,6.858564083043534e-12,0.0
Feature001,True,1.4503242277712775e-14,0.0
Feature002,True,2.7058928287091587e-17,0.0
Feature003,True,1.4205654059018626e-14,0.0
Feature004,True,6.18358977948031e-16,0.0
Feature005,True,7.570005088906336e-12,0.0
Feature006,True,1.0294785397998652e-11,0.0
Feature007,True,1.6762953823116127e-13,0.0
Feature008,True,4.10164242471837e-12,0.0
Feature009,True,1.124224290531233e-19,0.0
Feature010,False,0.2214643692810586,0.554
Feature011,False,0.18215859249759458,0.261
Feature012,False,0.5828197018617713,0.02
Feature013,False,0.9600024556760185,0.54
Feature014,False,0.4332589960269928,0.982
Feature015,False,0.27106218854833314,0.222
Feature016,False,0.09516699412314197,0.357
Feature017,False,0.24115165153733548,0.537
Feature018,False,0.2891903238788841,0.424
Feature019,False,0.04956964357932405,0.338
Feature020,False,0.020591414256485537,0.14
Feature021,False,0.8227664885336915,0.342
Feature022,False,0.14569808554999958,0.107
Feature023,False,0.2529441932304216,0.394
Feature024,False,0.605858030470677,0.487
Feature025,False,0.022381879837302353,0.049
Feature026,False,0.17583953142511946,0.701
Feature027,False,0.229391416287301,0.565
Feature028,False,0.5093286892450716,0.824
Feature029,False,0.19268355580694427,0.505
Feature030,False,0.18307345233653408,0.594
Feature031,False,0.7359403127335288,0.34
Feature032,False,0.1236861922842528,0.369
Feature033,False,0.38620868669210895,0.386
Feature034,False,0.09274913151109582,0.183
Feature035,False,0.5437753687992263,0.741
Feature036,False,0.9476330581114544,0.521
Feature037,False,0.0006536612944030633,0.03
Feature038,False,0.4653236358578525,0.107
Feature039,False,0.24487695135208554,0.527
Feature040,False,0.09314552968899731,0.306
Feature041,False,0.24710787016764152,0.692
Feature042,False,0.08028998626220221,0.548
Feature043,False,0.7196767223925224,0.987
Feature044,False,0.014133477896693397,0.157
Feature045,False,0.018249898262695644,0.062
Feature046,False,0.27762547040692714,0.372
Feature047,False,0.060227043141882895,0.383
Feature048,False,0.8344389110027537,0.968
Feature049,False,0.6147376577458765,0.202
Feature050,False,0.23495989544252135,0.208
Feature051,False,0.41901989210427804,0.511
Feature052,False,0.5626719800149691,0.916
Feature053,False,0.018864943009779707,0.195
Feature054,False,0.36800482799065115,0.464
Feature055,False,0.010516527676641749,0.067
Feature056,False,0.16858543898258643,0.646
Feature057,False,0.25756923902451057,0.112
Feature058,False,0.5300900449404352,0.734
Feature059,False,0.5567142047601253,0.795
Feature060,False,0.2248113166752851,0.657
Feature061,False,0.8181507403870552,0.535
Feature062,False,0.9273972604465635,1.0
Feature063,False,0.6098883454593779,0.903
Feature064,False,0.2179096328215988,0.207
Feature065,False,0.6249130913734171,0.673
Feature066,False,0.5027126186785307,0.438
Feature067,False,0.01890594240520197,0.231
Feature068,False,0.18396974800833862,0.723
Feature069,False,0.1824736231253384,0.583
Feature070,False,0.16310529373837523,0.686
Feature071,False,0.9329509038987562,0.813
Feature072,False,0.01940550215035383,0.214
Feature073,False,0.041867950702406065,0.109
Feature074,False,0.051935051366738996,0.318
Feature075,False,0.24224431260222148,0.657
Feature076,False,0.3049923825382094,0.089
Feature077,False,0.05153333571203005,0.296
Feature078,False,0.2880408618301927,0.07
Feature079,False,0.0579204469616173,0.226
Feature080,False,0.20431593086799496,0.296
Feature081,False,0.23230217151195667,0.214
Feature082,False,0.1044322463983083,0.223
Feature083,False,0.20004227630100546,0.403
Feature084,False,0.5103978040692806,0.639
Feature085,False,0.6734607630521317,0.719
Feature086,False,0.6128559739382196,0.434
Feature087,False,0.009347792408495589,0.066
Feature088,False,0.8513216489302208,0.425
Feature089,False,0.006276285853111032,0.055
Feature090,False,0.7867421090341995,0.955
Feature091,False,0.0640273111178265,0.567
Feature092,False,0.14054213882916441,0.211
Feature093,False,0.006246836654913038,0.143
Feature094,False,0.14447416233761226,0.217
Feature095,False,0.1771871134617454,0.545
Feature096,False,0.5317222402012916,0.839
Feature097,False,0.03367830915633145,0.271
Feature098,False,0.21919285238853514,0.412
Feature099,False,0.8507318480641877,0.5
